username,error_code,bio,metrics,followers_count,following_count,tweet_count,,,,,,,,,
TRUMPTROOPER,200,I hope your day is cool beans.,"{'followers_count': 17, 'following_count': 83, 'tweet_count': 119, 'listed_count': 0}",17,83,0,,,,,,,,,
RAINFIDEL,200,,"{'followers_count': 4, 'following_count': 0, 'tweet_count': 2, 'listed_count': 0}",4,0,0,,,,,,,,,
hellsfury66t6,200,"I love motorcycles, painting, anything outdoors and gaming. Fallow me on https://t.co/goOALNzobP","{'followers_count': 15, 'following_count': 101, 'tweet_count': 68, 'listed_count': 0}",15,101,0,,,,,,,,,
Stevemcfarland5,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",0,0,0,,,,,,,,,
LuisMolina,200,,"{'followers_count': 19, 'following_count': 0, 'tweet_count': 0, 'listed_count': 1}",19,0,1,,,,,,,,,
SteelTank,200,,"{'followers_count': 14, 'following_count': 12, 'tweet_count': 18, 'listed_count': 0}",14,12,0,,,,,,,,,
DChimichanga,200,,"{'followers_count': 0, 'following_count': 1, 'tweet_count': 1, 'listed_count': 0}",0,1,0,,,,,,,,,
Matt1106,200,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 1, 'listed_count': 0}",1,0,0,,,,,,,,,
JeffMAGA,200,,"{'followers_count': 0, 'following_count': 6, 'tweet_count': 1, 'listed_count': 0}",0,6,0,,,,,,,,,
AaronFerguson,200,,"{'followers_count': 6, 'following_count': 15, 'tweet_count': 24, 'listed_count': 1}",6,15,1,,,,,,,,,
AmericanPop,200,Social Media and Digital Strategy,"{'followers_count': 829, 'following_count': 739, 'tweet_count': 1392, 'listed_count': 51}",829,739,51,,,,,,,,,
JeffSs,200,,"{'followers_count': 7, 'following_count': 205, 'tweet_count': 2, 'listed_count': 0}",7,205,0,,,,,,,,,
Mharris63,200,A thoughtful man always looking for more food to feed to my thoughts. I have a deep passion for writing Poetry and Flash Fiction. All Poetry my own.,"{'followers_count': 31, 'following_count': 77, 'tweet_count': 17, 'listed_count': 0}",31,77,0,,,,,,,,,
FreshmanPB,200,"Freshman Playbook equips students to begin college with a stronger sense of self-confidence, focus, and readiness.","{'followers_count': 1, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",1,0,0,,,,,,,,,
Bromston,200,,"{'followers_count': 2, 'following_count': 44, 'tweet_count': 2, 'listed_count': 0}",2,44,0,,,,,,,,,
Shaky6,200,,"{'followers_count': 61, 'following_count': 99, 'tweet_count': 17, 'listed_count': 0}",61,99,0,,,,,,,,,
Breaker104,200,スポーツが大好き笑,"{'followers_count': 4, 'following_count': 18, 'tweet_count': 0, 'listed_count': 0}",4,18,0,,,,,,,,,
BenHagen2,200,,"{'followers_count': 11, 'following_count': 13, 'tweet_count': 44, 'listed_count': 0}",11,13,0,,,,,,,,,
vigocarpathian,200,"Dennis Hazelett. Professor of Bioinformatics at Cedars-Sinai Medical Center. Cancer Genomics. Science, Sports, Politics. Opinions my own.","{'followers_count': 312, 'following_count': 1235, 'tweet_count': 10535, 'listed_count': 4}",312,1235,4,,,,,,,,,
BookemDano,200,"Dad, Coder, SPC, PMI-ACP, CSM, ETC.","{'followers_count': 56, 'following_count': 454, 'tweet_count': 808, 'listed_count': 2}",56,454,2,,,,,,,,,
Mert1969,200,,"{'followers_count': 2, 'following_count': 1, 'tweet_count': 1, 'listed_count': 0}",2,1,0,,,,,,,,,
herculean67,200,,"{'followers_count': 34, 'following_count': 347, 'tweet_count': 2060, 'listed_count': 0}",34,347,0,,,,,,,,,
SophiaGrace,200,@lololondon,"{'followers_count': 219344, 'following_count': 7749, 'tweet_count': 9610, 'listed_count': 509}",219344,7749,509,,,,,,,,,
Redpillrage,200,,"{'followers_count': 134, 'following_count': 308, 'tweet_count': 118, 'listed_count': 0}",134,308,0,,,,,,,,,
Spartan214,200,,"{'followers_count': 5, 'following_count': 81, 'tweet_count': 4, 'listed_count': 0}",5,81,0,,,,,,,,,
Marshallscott11,200,,"{'followers_count': 2, 'following_count': 8, 'tweet_count': 0, 'listed_count': 0}",2,8,0,,,,,,,,,
ProudOfThisBoy,200,I am a Proud Western Chauvinist who refuses to apologize for creating the Modern World.,"{'followers_count': 6, 'following_count': 9, 'tweet_count': 5, 'listed_count': 0}",6,9,0,,,,,,,,,
Stormatha,200,,"{'followers_count': 45, 'following_count': 60, 'tweet_count': 23, 'listed_count': 0}",45,60,0,,,,,,,,,
MiloBitch,200,Wild heart. Gypsy soul. I don't think before i speak.,"{'followers_count': 4, 'following_count': 33, 'tweet_count': 70, 'listed_count': 0}",4,33,0,,,,,,,,,
MicahEL777,200,,"{'followers_count': 0, 'following_count': 8, 'tweet_count': 0, 'listed_count': 0}",0,8,0,,,,,,,,,
Gunrunner9mm,200,,"{'followers_count': 2, 'following_count': 38, 'tweet_count': 9, 'listed_count': 0}",2,38,0,,,,,,,,,
themac,200,"Just a poor schmoe, got lucky.","{'followers_count': 254, 'following_count': 479, 'tweet_count': 83203, 'listed_count': 19}",254,479,19,,,,,,,,,
Julietg7,200,i am kool-ish lol i,"{'followers_count': 11, 'following_count': 0, 'tweet_count': 28, 'listed_count': 0}",11,0,0,,,,,,,,,
Reaper26,200,,"{'followers_count': 8, 'following_count': 14, 'tweet_count': 0, 'listed_count': 0}",8,14,0,,,,,,,,,
lolJK101,200,,"{'followers_count': 0, 'following_count': 1, 'tweet_count': 0, 'listed_count': 0}",0,1,0,,,,,,,,,
MrsGigliotti,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",0,0,0,,,,,,,,,
Kevinjones10,200,,"{'followers_count': 0, 'following_count': 11, 'tweet_count': 0, 'listed_count': 0}",0,11,0,,,,,,,,,
User496,200,,"{'followers_count': 405, 'following_count': 1046, 'tweet_count': 21, 'listed_count': 0}",405,1046,0,,,,,,,,,
ClassicGirl75,200,j'ai revé de moutons,"{'followers_count': 0, 'following_count': 8, 'tweet_count': 58, 'listed_count': 0}",0,8,0,,,,,,,,,
Travisty81,200,,"{'followers_count': 1, 'following_count': 19, 'tweet_count': 2, 'listed_count': 0}",1,19,0,,,,,,,,,
TexasMade817,200,,"{'followers_count': 32, 'following_count': 141, 'tweet_count': 29, 'listed_count': 0}",32,141,0,,,,,,,,,
MrMapplethorpe,200,On a daily basis I am more furious /freaked out /fuming than I ever thought possible - so I am lighting candles in the dark whenever and wherever I can.,"{'followers_count': 33, 'following_count': 318, 'tweet_count': 15, 'listed_count': 0}",33,318,0,,,,,,,,,
Keane0603,200,,"{'followers_count': 79, 'following_count': 1634, 'tweet_count': 114, 'listed_count': 0}",79,1634,0,,,,,,,,,
MADMANIRISH,200,Im a crazy fucker that says what I think!! don't follow me if you cant handle it!!,"{'followers_count': 23, 'following_count': 10, 'tweet_count': 20, 'listed_count': 0}",23,10,0,,,,,,,,,
AmanD,200,,"{'followers_count': 57, 'following_count': 20, 'tweet_count': 1, 'listed_count': 4}",57,20,4,,,,,,,,,
BScott007,200,educated,,,,,,,,,,,,,
family,,,,,,,,,,,,,,,
loading......,bscott007,"{'followers_count': 0, 'following_count': 10, 'tweet_count': 3, 'listed_count': 0}",10,0,,,,,,,,,,,
Nosdivad,200,,"{'followers_count': 4, 'following_count': 1, 'tweet_count': 1, 'listed_count': 0}",4,1,0,,,,,,,,,
DontEatPeople,200,,"{'followers_count': 3, 'following_count': 30, 'tweet_count': 2, 'listed_count': 0}",3,30,0,,,,,,,,,
Linniepinnie,200,,"{'followers_count': 2, 'following_count': 13, 'tweet_count': 0, 'listed_count': 0}",2,13,0,,,,,,,,,
MustacheMan,200,,"{'followers_count': 6, 'following_count': 0, 'tweet_count': 2, 'listed_count': 0}",6,0,0,,,,,,,,,
RandyDavidson1,200,,"{'followers_count': 3, 'following_count': 2, 'tweet_count': 0, 'listed_count': 0}",3,2,0,,,,,,,,,
Trayce927,200,,"{'followers_count': 11, 'following_count': 61, 'tweet_count': 980, 'listed_count': 0}",11,61,0,,,,,,,,,
ReneeMeans,200,,"{'followers_count': 1, 'following_count': 1, 'tweet_count': 0, 'listed_count': 0}",1,1,0,,,,,,,,,
LdBlaze,200,,"{'followers_count': 8, 'following_count': 128, 'tweet_count': 2, 'listed_count': 0}",8,128,0,,,,,,,,,
Templar2020,200,,"{'followers_count': 0, 'following_count': 1, 'tweet_count': 9, 'listed_count': 0}",0,1,0,,,,,,,,,
Jdattenberger,200,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",1,0,0,,,,,,,,,
BasedTrucker,200,i ❤️ pidser n big trucks!,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"If your hate could be turned into electricity, it would light up the whole world.",basedtrucker,"{'followers_count': 1692, 'following_count': 1402, 'tweet_count': 6808, 'listed_count': 4}",1402,4,,,,,,,,,,,
SmokeyIII,200,,"{'followers_count': 0, 'following_count': 1, 'tweet_count': 0, 'listed_count': 0}",0,1,0,,,,,,,,,
Leatherboy69,200,"INTER 🍆💦🍑ENTRON, BB, GOLOSO, AGUANTADOR MORBOSO, DLCERO💎PARA INTERS ACTIVOS ENTRONES DLCEROS 🍬 VERGONES, MORBSOS GW, FF, ORGY, II ROMANO Y PASARLA BIEN 😈","{'followers_count': 110, 'following_count': 855, 'tweet_count': 1094, 'listed_count': 0}",110,855,0,,,,,,,,,
slowpoke73,200,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 23, 'listed_count': 0}",1,0,0,,,,,,,,,
Stover,200,,"{'followers_count': 3, 'following_count': 75, 'tweet_count': 1, 'listed_count': 0}",3,75,0,,,,,,,,,
computerFX,200,Official twitter page for Computer FX. We offer reliable comptuer and internet services to Malton and North Yorkshire.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Call us on 01653 694500,computerfx,"{'followers_count': 41, 'following_count': 11, 'tweet_count': 24, 'listed_count': 0}",11,0,,,,,,,,,,,
SianAnne,200,,"{'followers_count': 4, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",4,0,0,,,,,,,,,
MAGAPEACH,200,Bartender whose posting lewds on OnlyFans 🤪❤️ The powerlifting keeps me strong & hot 🍑,,,,,,,,,,,,,
(it's 'maga' as in 'Magali' 🙃),MagaPeach,"{'followers_count': 801, 'following_count': 346, 'tweet_count': 19048, 'listed_count': 8}",346,8,,,,,,,,,,,
HBaca,200,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 14, 'listed_count': 1}",1,0,1,,,,,,,,,
realPogo,200,just a real pogo ;),"{'followers_count': 33, 'following_count': 109, 'tweet_count': 579, 'listed_count': 1}",33,109,1,,,,,,,,,
Sockpuppet1,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 1, 'listed_count': 0}",0,0,0,,,,,,,,,
Mosshopper,200,https://t.co/ezLHWCpP05,"{'followers_count': 3, 'following_count': 11, 'tweet_count': 4, 'listed_count': 0}",3,11,0,,,,,,,,,
BarnacleBill,200,,"{'followers_count': 1, 'following_count': 1, 'tweet_count': 1, 'listed_count': 0}",1,1,0,,,,,,,,,
ParaFrank,200,,"{'followers_count': 3, 'following_count': 8, 'tweet_count': 0, 'listed_count': 0}",3,8,0,,,,,,,,,
Momz1313,200,,"{'followers_count': 1, 'following_count': 3, 'tweet_count': 1, 'listed_count': 0}",1,3,0,,,,,,,,,
Smokiemon,200,,"{'followers_count': 6, 'following_count': 7, 'tweet_count': 84, 'listed_count': 0}",6,7,0,,,,,,,,,
KassandraOfTroy,200,I'm the best damn thing that your eyes have ever seen !! :*:*,"{'followers_count': 2, 'following_count': 0, 'tweet_count': 16, 'listed_count': 0}",2,0,0,,,,,,,,,
DarenRed,200,,"{'followers_count': 18, 'following_count': 64, 'tweet_count': 137, 'listed_count': 0}",18,64,0,,,,,,,,,
spooby,200,,"{'followers_count': 3, 'following_count': 0, 'tweet_count': 26, 'listed_count': 0}",3,0,0,,,,,,,,,
blacksunwheel,200,"https://t.co/MawQOQTdE0 https://t.co/iNqfkZquwl Magic, Dungeon Synth. Japanoise. Contre-Culture. King/Thilliez/Chattam/Ferey.","{'followers_count': 205, 'following_count': 248, 'tweet_count': 1918, 'listed_count': 9}",205,248,9,,,,,,,,,
BigBoiBrian,200,Have you seen her?,"{'followers_count': 19, 'following_count': 0, 'tweet_count': 1752, 'listed_count': 0}",19,0,0,,,,,,,,,
D3ter1,200,,"{'followers_count': 0, 'following_count': 1, 'tweet_count': 0, 'listed_count': 0}",0,1,0,,,,,,,,,
wagzillA,200,,"{'followers_count': 11, 'following_count': 854, 'tweet_count': 20, 'listed_count': 0}",11,854,0,,,,,,,,,
KPasserini,200,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",0,0,0,,,,,,,,,
Kep321,200,,"{'followers_count': 1, 'following_count': 3, 'tweet_count': 3, 'listed_count': 0}",1,3,0,,,,,,,,,
JohnnyReb1989,200,"32, Texan, Aggie, trucker driver, motorcycle enthusiast. Just living my best life 😆","{'followers_count': 0, 'following_count': 21, 'tweet_count': 1, 'listed_count': 0}",0,21,0,,,,,,,,,
bambamcam,200,I whip my hair back and forth.,"{'followers_count': 159, 'following_count': 350, 'tweet_count': 1207, 'listed_count': 2}",159,350,2,,,,,,,,,
JazSearby,200,,"{'followers_count': 1, 'following_count': 78, 'tweet_count': 0, 'listed_count': 0}",1,78,0,,,,,,,,,
Jenn0728,200,,"{'followers_count': 1, 'following_count': 0, 'tweet_count': 0, 'listed_count': 0}",1,0,0,,,,,,,,,
