,id,key,badges,banned,bio,blocked,comments,datatype,followed,user_followers,user_following,following,human,integration,isFollowingYou,joined,lastseents,likes,media,muted,pendingFollow,posts,private,profilePhoto,rss,state,userid,username,verified,verifiedComments,username_length,error_code,error_desc,error_details
6,8a553cba6a624dcfb57a446ad42edc07,8a553cba6a624dcfb57a446ad42edc07,[],False,"❤���� ALL THE WAY WITH THE USA❤���� .TRUMP IS GOD SENT❤����.ENGLAND PATRIOT ❤����.SAVE THE CHILDREN��. ✌ THE CONSTITUTION IS THE SOLUTION✌ NO SURRENDER, MARCH OR DIE.����.HAIL HAIL TO THE PROUD BOYS��",False,1500.0,user_profile,False,12000.0,13000.0,13000.0,False,False,False,7/4/20 12:33,2020-12-21 09:37:34.316567 UTC,1700.0,2.0,False,False,101.0,False,82063b3da87b4fc6b47633da9b94c953,False,,8a553cba6a624dcfb57a446ad42edc07,TRUMPTROOPER,False,False,12,200,account exists,
9,83a9b86eef3542629252bb30f7d6017d,83a9b86eef3542629252bb30f7d6017d,[],False,"Husband, Proud father to three boys, Military, I support law enforcement and im a Proud Boy... POYB UHURU",False,194.0,user_profile,False,126.0,34.0,34.0,False,False,False,6/25/20 8:59,2020-12-21 23:36:52.966676 UTC,82.0,16.0,False,False,47.0,False,e1c0511b922148dc863d17cc9502138a,False,,83a9b86eef3542629252bb30f7d6017d,RAINFIDEL,False,False,9,200,account exists,
14,8e75d3c5912242c8bb039bcaf363cb6d,8e75d3c5912242c8bb039bcaf363cb6d,[0],False,"Unapologetic Proud Boy , Artist, Political enthusiast, professional Jackass ����",False,29.0,user_profile,False,60.0,97.0,97.0,True,False,False,7/25/20 18:23,2020-12-22 12:53:18.022493 UTC,371.0,9.0,False,False,217.0,False,43e4d7cc4b024f628a1a7847f3188a84,False,,8e75d3c5912242c8bb039bcaf363cb6d,hellsfury66t6,False,False,13,200,account exists,
16,9150960bee56472190fed4bbfded01df,9150960bee56472190fed4bbfded01df,[0],False,X Marine old farmer hates socialism and left wing idiots! Proud Boy Supporter! And Patriots that believe in the Constitution and 2nd Amendment MAGA TRUMP 2020,False,265.0,user_profile,False,65.0,53.0,53.0,True,False,False,6/26/20 20:52,2020-12-21 11:54:11.659428 UTC,295.0,11.0,False,False,63.0,False,af428349bd0e4efba43b242d0ca76451,False,,9150960bee56472190fed4bbfded01df,Stevemcfarland5,False,False,15,200,account exists,
17,48380f9437a64062a5f73452e5c668e7,48380f9437a64062a5f73452e5c668e7,[0],False,"Fight for liberty , Fight for Freedom
America First !
Infowars.com
#FAFO #Proudboys
#Qanon
#latinosfortrump",False,3100.0,user_profile,False,1500.0,641.0,641.0,True,False,False,5/31/20 15:25,2020-12-22 16:07:01.451263 UTC,9500.0,11.0,False,False,358.0,False,604532e059b448718c673f98d2ab35ce,False,,48380f9437a64062a5f73452e5c668e7,LuisMolina,False,False,10,200,account exists,
19,985baf88a612415a85e8ac38dd76e276,985baf88a612415a85e8ac38dd76e276,[0],False,"One of the gay Republicans you don’t hear about.

3° Proud Boy",False,499.0,user_profile,False,478.0,264.0,264.0,True,False,False,6/25/20 13:06,2020-12-21 10:49:08.2733 UTC,775.0,109.0,False,False,279.0,False,29c7aa80ee3349e4b2e4b877091a728e,False,,985baf88a612415a85e8ac38dd76e276,SteelTank,False,False,9,200,account exists,
20,f2cd692dbe8c470594c2dfc632dc1c82,f2cd692dbe8c470594c2dfc632dc1c82,[0],False,"Founding member, AKC Proud Boys - 
Once a Marine, always a Marine - Semper fi.",False,91.0,user_profile,False,171.0,71.0,71.0,True,False,False,6/1/19 1:43,2020-12-21 15:06:16.866822 UTC,9.0,5.0,False,False,36.0,False,94364814112d4b70ad82c949a8a14e8d,False,,f2cd692dbe8c470594c2dfc632dc1c82,DChimichanga,False,False,12,200,account exists,
21,ecdb9495056542359f1ae487002f22ea,ecdb9495056542359f1ae487002f22ea,[],False,#Proudboy #trump #USA #MAGA #Father #Patriot #Q #qanon #freedom,False,85.0,user_profile,False,192.0,333.0,333.0,False,False,False,10/24/20 23:08,2020-12-21 01:09:50.029843 UTC,64.0,36.0,False,False,96.0,False,e9ed2e63ba374ab0b7abac9d2891400f,False,1.0,ecdb9495056542359f1ae487002f22ea,Matt1106,False,False,8,200,account exists,
22,4785090328bb4fb3bd6b3cf8701d5398,4785090328bb4fb3bd6b3cf8701d5398,[0],False,"Georgia graduate. #NavyVet. #MAGA, #KAG, Trump2020, #ProudBoy. Have lived in California, China, Alabama, Florida, and currently Louisiana. I stand for the Flag. Suspended from Facebook - Fuck Zuck",False,431.0,user_profile,False,719.0,708.0,708.0,True,False,False,6/26/20 20:42,2020-12-20 04:17:24.360051 UTC,787.0,17.0,False,False,216.0,False,59a822ef9a6540eaa17156191dec5181,False,,4785090328bb4fb3bd6b3cf8701d5398,JeffMAGA,False,False,8,200,account exists,
28,89bf0b1f999b49958072bbe4f1158159,89bf0b1f999b49958072bbe4f1158159,[0],False,"For God and Country 
Proud Boy - 4th Degree
Free Speech - 2A - America 1st
���� TRUMP 2020 ����
Cannabis Advocate",False,91.0,user_profile,False,169.0,282.0,282.0,True,False,False,6/28/20 5:07,2020-12-20 08:01:10.355272 UTC,288.0,12.0,False,False,186.0,False,d9196a097b68426b95936aa9734b0a24,False,,89bf0b1f999b49958072bbe4f1158159,AaronFerguson,False,False,13,200,account exists,
30,b65d254763af45dea098f214e7b882d6,b65d254763af45dea098f214e7b882d6,[],False,"Retired. Married. Raw. #MAGA #ProudBoys #Trump #Freedom

“Academia are farms that grow liberal mushrooms. The MSM keeps them in the dark. Hollywood feeds them the shit they need to grow” - Me",False,70.0,user_profile,False,1300.0,1400.0,1400.0,False,False,False,6/13/19 19:21,2020-12-21 07:01:11.10833 UTC,824.0,5.0,False,False,2500.0,False,0693222d20994fb7958b3ce530a94879,False,,b65d254763af45dea098f214e7b882d6,AmericanPop,False,False,11,200,account exists,
35,b773b80fe4f24e9d892d9daac282b783,b773b80fe4f24e9d892d9daac282b783,[],False,"LVL 1 PROUD BOY!

Proud Western Chauvinist, who refuses to apologize for creating the modern world.",False,117.0,user_profile,False,242.0,238.0,238.0,False,False,False,6/29/20 19:32,2020-12-21 23:20:39.440505 UTC,1100.0,5.0,False,False,47.0,False,06d14a01e551404bba9c54aba7d7f195,False,,b773b80fe4f24e9d892d9daac282b783,JeffSs,False,False,6,200,account exists,
42,7332ec2ffede4f2fa122370b0a675950,7332ec2ffede4f2fa122370b0a675950,[],False,"Jesus lover, America lover, Wife and Mother, NRA member, COS, Judicial Watch, Proud Boys and CUFI supporter, Trump 2020 - KAG! WWG1WGA!",False,526.0,user_profile,False,6300.0,6100.0,6100.0,False,False,False,6/30/20 0:53,2020-12-22 06:19:21.445645 UTC,20000.0,2.0,False,False,11000.0,False,26c6bdc98729409783a795a0fabdbe28,False,,7332ec2ffede4f2fa122370b0a675950,Mharris63,False,False,9,200,account exists,
45,7880a25145474ca3a9696995e72840b2,7880a25145474ca3a9696995e72840b2,[0],False,God and ProudBoys and steak and beer,False,114.0,user_profile,False,126.0,130.0,130.0,True,False,False,7/4/20 0:40,2020-12-21 05:50:58.017717 UTC,211.0,4.0,False,False,36.0,False,8a01aa0d830b409196318ac6730cc491,False,,7880a25145474ca3a9696995e72840b2,FreshmanPB,False,False,10,200,account exists,
46,be6dceb8451d4f88a85f05f103daa83e,be6dceb8451d4f88a85f05f103daa83e,[0],False,"American Chauvinist
Christian
Husband and Father
Proud Boy",False,20.0,user_profile,False,24.0,42.0,42.0,True,False,False,10/1/20 19:44,2020-12-20 09:03:47.70701 UTC,430.0,0.0,False,False,22.0,False,de057c0bb7ed44f1ade1c47e17c2593b,False,1.0,be6dceb8451d4f88a85f05f103daa83e,Bromston,False,False,8,200,account exists,
49,91092f8fbba84898bfe17b811e64d962,91092f8fbba84898bfe17b811e64d962,[],False,"Purple Heart Veteran, Farmer, Avionics Tech, Warmonger, Mean Summammabich, Liberal Hater, and now a Planning and Zoning Board Member too. Self-appointed Proud Boy.",False,412.0,user_profile,False,122.0,38.0,38.0,False,False,False,7/14/19 21:58,2020-12-22 00:46:40.180714 UTC,55.0,5.0,False,False,74.0,False,582c78b1d01c48899f67e5c1cd1b166e,False,,91092f8fbba84898bfe17b811e64d962,Shaky6,False,False,6,200,account exists,
54,f12448bc4eff465ebafb6aae5551fbff,f12448bc4eff465ebafb6aae5551fbff,[0],False,"Houston, TX! Catch me on Tommy's Garage TV Show AND the weekly podcast- Barbarically Candid Podcast. 1st Degree Proud Boy",False,25.0,user_profile,False,84.0,95.0,95.0,True,False,False,6/25/20 21:53,2020-12-22 08:43:29.895021 UTC,101.0,33.0,False,False,123.0,False,e2a5fd2cf8eb4fd3b1c0f5feb8d61972,False,,f12448bc4eff465ebafb6aae5551fbff,Breaker104,False,False,10,200,account exists,
55,395f581178a4475bafa073e1965e59db,395f581178a4475bafa073e1965e59db,[0],False,"President Pittsburgh PA
Proud Boys 3°
US Army Veteran",False,0.0,user_profile,False,36.0,36.0,36.0,True,False,False,6/26/20 12:59,2020-12-21 18:58:05.449375 UTC,2.0,1.0,False,False,12.0,False,325770a63f71486285164f54685f8838,False,,395f581178a4475bafa073e1965e59db,BenHagen2,False,False,9,200,account exists,
56,4d7e289bde7c4d9e8f4f235c1d2e7c9e,4d7e289bde7c4d9e8f4f235c1d2e7c9e,[0],False,"Eastside Regulators President, Proud Boys.",False,92.0,user_profile,False,1000.0,223.0,223.0,True,False,False,6/25/20 12:51,2020-12-21 02:37:02.691444 UTC,114.0,8.0,False,False,50.0,False,9dcfe7b06a724be89f286a327c87ea10,False,,4d7e289bde7c4d9e8f4f235c1d2e7c9e,vigocarpathian,False,False,14,200,account exists,
