username,error_code,error_desc,error_details
TabithaLWatson,200,Not Found Error,Could not find user with usernames: [TabithaLWatson].
Firebee211,200,Forbidden,User has been suspended: [Firebee211].
stevespoton,200,Not Found Error,Could not find user with usernames: [stevespoton].
Karadysart,200,Forbidden,User has been suspended: [Karadysart].
MattyLifeMilker,200,Forbidden,User has been suspended: [MattyLifeMilker].
TxBBQGuys,200,Not Found Error,Could not find user with usernames: [TxBBQGuys].
TRUMPTROOPER,200,account exists,
SecedeTexas2020,200,Not Found Error,Could not find user with usernames: [SecedeTexas2020].
Renagaedish,200,Not Found Error,Could not find user with usernames: [Renagaedish].
RAINFIDEL,200,account exists,
LunaHuntress05,200,Not Found Error,Could not find user with usernames: [LunaHuntress05].
SteveSherwoodJr,200,Not Found Error,Could not find user with usernames: [SteveSherwoodJr].
mlynn416,200,Not Found Error,Could not find user with usernames: [mlynn416].
P0YB,200,Forbidden,User has been suspended: [P0YB].
hellsfury66t6,200,account exists,
PGHProudBoy,200,Not Found Error,Could not find user with usernames: [PGHProudBoy].
Stevemcfarland5,200,account exists,
LuisMolina,200,account exists,
LVPB76,200,Not Found Error,Could not find user with usernames: [LVPB76].
SteelTank,200,account exists,
DChimichanga,200,account exists,
Matt1106,200,account exists,
JeffMAGA,200,account exists,
DunkanLemp,200,Not Found Error,Could not find user with usernames: [DunkanLemp].
Hail2TheKang,200,Not Found Error,Could not find user with usernames: [Hail2TheKang].
AaronFerguson,200,account exists,
JessePBWA,200,Not Found Error,Could not find user with usernames: [JessePBWA].
AmericanPop,200,account exists,
Lulitareyes17,200,Not Found Error,Could not find user with usernames: [Lulitareyes17].
RizenSoldier,200,Not Found Error,Could not find user with usernames: [RizenSoldier].
PDXSGT,200,Not Found Error,Could not find user with usernames: [PDXSGT].
PBRedBeard,200,Not Found Error,Could not find user with usernames: [PBRedBeard].
JeffSs,200,account exists,
TeeMontes,200,Not Found Error,Could not find user with usernames: [TeeMontes].
DustinPotter303,200,Not Found Error,Could not find user with usernames: [DustinPotter303].
605jcastillo,200,Not Found Error,Could not find user with usernames: [605jcastillo].
Mharris63,200,account exists,
JamesYaaqov,200,Not Found Error,Could not find user with usernames: [JamesYaaqov].
NCFarmBuck,200,Not Found Error,Could not find user with usernames: [NCFarmBuck].
FreshmanPB,200,account exists,
Bromston,200,account exists,
IRONcannoli,200,Not Found Error,Could not find user with usernames: [IRONcannoli].
Skza,200,Not Found Error,Could not find user with usernames: [Skza].
Shaky6,200,account exists,
Infidelzfun,200,Forbidden,User has been suspended: [Infidelzfun].
APJill58,200,Not Found Error,Could not find user with usernames: [APJill58].
Ljnorth,200,Not Found Error,Could not find user with usernames: [Ljnorth].
Generaalspeklap,200,Forbidden,User has been suspended: [Generaalspeklap].
Breaker104,200,account exists,
BenHagen2,200,account exists,
vigocarpathian,200,account exists,
BookemDano,200,account exists,
Mert1969,200,account exists,
wildcatbackers,200,Not Found Error,Could not find user with usernames: [wildcatbackers].
herculean67,200,account exists,
Djginnyz2014,200,Not Found Error,Could not find user with usernames: [Djginnyz2014].
JDavis1stCav,200,Not Found Error,Could not find user with usernames: [JDavis1stCav].
SophiaGrace,200,account exists,
Redpillrage,200,account exists,
Spartan214,200,account exists,
Marshallscott11,200,account exists,
ProudOfThisBoy,200,account exists,
Stormatha,200,account exists,
Bean13usa,200,Not Found Error,Could not find user with usernames: [Bean13usa].
MiloBitch,200,account exists,
MicahEL777,200,account exists,
HazzMeister,200,Forbidden,User has been suspended: [HazzMeister].
PBBritannia,200,Not Found Error,Could not find user with usernames: [PBBritannia].
HelenaProudBoys,200,Not Found Error,Could not find user with usernames: [HelenaProudBoys].
STPBAU,200,Not Found Error,Could not find user with usernames: [STPBAU].
ProudBoysCanada,200,Forbidden,User has been suspended: [ProudBoysCanada].
PatriotKhadafi,200,Not Found Error,Could not find user with usernames: [PatriotKhadafi].
Gunrunner9mm,200,account exists,
themac,200,account exists,
AmericaTroll,200,Forbidden,User has been suspended: [AmericaTroll].
Julietg7,200,account exists,
Reaper26,200,account exists,
